logical_tags,org_tags,cue_id,cuepool_name
d sral12_13top,spatialrotation d,7523,Spatial Rotation - tops 12-13
e sral12_13top,spatialrotation e,7532,Spatial Rotation - tops 12-13
f sral12_13top,spatialrotation f,7525,Spatial Rotation - tops 12-13
g sral12_13top,spatialrotation g,7524,Spatial Rotation - tops 12-13
h sral12_13top,spatialrotation h,7527,Spatial Rotation - tops 12-13
i sral12_13top,spatialrotation i,7531,Spatial Rotation - tops 12-13
j sral12_13top,spatialrotation j,7526,Spatial Rotation - tops 12-13
k sral12_13top,spatialrotation k,7533,Spatial Rotation - tops 12-13
a sral14_15top,spatialrotation a,7534,Spatial Rotation - tops 14-15
c sral14_15top,spatialrotation c,7535,Spatial Rotation - tops 14-15
b sral14_15top,spatialrotation b,7536,Spatial Rotation - tops 14-15
e sral14_15top,spatialrotation e,7537,Spatial Rotation - tops 14-15
d sral14_15top,spatialrotation d,7538,Spatial Rotation - tops 14-15
f sral14-15top,spatialrotation f,7578,Spatial Rotation - tops 14-15
a sral2_3top,spatialrotation a,7293,Spatial Rotation - tops 2-3
b sral2_3top,spatialrotation b,7284,Spatial Rotation - tops 2-3
c sral2_3top,spatialrotation c,7288,Spatial Rotation - tops 2-3
d sral2_3top,spatialrotation d,7289,Spatial Rotation - tops 2-3
e sral2_3top,spatialrotation e,7291,Spatial Rotation - tops 2-3
f sral2_3top,spatialrotation f,7285,Spatial Rotation - tops 2-3
g sral2_3top,spatialrotation g,7282,Spatial Rotation - tops 2-3
h sral2_3top,spatialrotation h,7286,Spatial Rotation - tops 2-3
sral2_3top i,spatialrotation i,7287,Spatial Rotation - tops 2-3
j sral2_3top,spatialrotation j,7283,Spatial Rotation - tops 2-3
k sral2_3top,spatialrotation k,7294,Spatial Rotation - tops 2-3
l sral2_3top,spatialrotation l,7292,Spatial Rotation - tops 2-3
sral2_3top m,spatialrotation m,7281,Spatial Rotation - tops 2-3
sral2_3top n,spatialrotation n,7290,Spatial Rotation - tops 2-3
f sral4-5top,spatialrotation f,7539,Spatial Rotation - tops 4-5
e sral4-5top,spatialrotation e,7540,Spatial Rotation - tops 4-5
a sral4-5top,spatialrotation a,7541,Spatial Rotation - tops 4-5
h sral4-5top,spatialrotation h,7542,Spatial Rotation - tops 4-5
g sral4-5top,spatialrotation g,7543,Spatial Rotation - tops 4-5
d sral4-5top,spatialrotation d,7544,Spatial Rotation - tops 4-5
c sral4-5top,spatialrotation c,7545,Spatial Rotation - tops 4-5
